Hash Code 2021
[2021-03-16T09:22:55Z INFO  hashcode2021] Loading simulation from 'input/d.txt'

Simulation
----------
Duration     : 8071
Intersections: 8000
Streets      : 95928
Cars         : 1000
Max score    : 3986591
Bonus points : 1000
[2021-03-16T09:22:56Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:22:57Z INFO  hashcode2021] Schedule 1/100: score 2490079
[2021-03-16T09:22:58Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:22:59Z INFO  hashcode2021] Schedule 2/100: score 2484608
[2021-03-16T09:23:00Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:01Z INFO  hashcode2021] Schedule 3/100: score 2479614
[2021-03-16T09:23:01Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:02Z INFO  hashcode2021] Schedule 4/100: score 2482763
[2021-03-16T09:23:03Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:04Z INFO  hashcode2021] Schedule 5/100: score 2485686
[2021-03-16T09:23:05Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:06Z INFO  hashcode2021] Schedule 6/100: score 2492421
[2021-03-16T09:23:07Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:07Z INFO  hashcode2021] Schedule 7/100: score 2484036
[2021-03-16T09:23:08Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:09Z INFO  hashcode2021] Schedule 8/100: score 2486799
[2021-03-16T09:23:10Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:11Z INFO  hashcode2021] Schedule 9/100: score 2486657
[2021-03-16T09:23:12Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:13Z INFO  hashcode2021] Schedule 10/100: score 2486860
[2021-03-16T09:23:13Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:14Z INFO  hashcode2021] Schedule 11/100: score 2492811
[2021-03-16T09:23:15Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:16Z INFO  hashcode2021] Schedule 12/100: score 2488950
[2021-03-16T09:23:17Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:18Z INFO  hashcode2021] Schedule 13/100: score 2479638
[2021-03-16T09:23:18Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:19Z INFO  hashcode2021] Schedule 14/100: score 2482099
[2021-03-16T09:23:20Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:21Z INFO  hashcode2021] Schedule 15/100: score 2486043
[2021-03-16T09:23:22Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:23Z INFO  hashcode2021] Schedule 16/100: score 2482530
[2021-03-16T09:23:24Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:25Z INFO  hashcode2021] Schedule 17/100: score 2480086
[2021-03-16T09:23:26Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:26Z INFO  hashcode2021] Schedule 18/100: score 2480807
[2021-03-16T09:23:27Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:28Z INFO  hashcode2021] Schedule 19/100: score 2475570
[2021-03-16T09:23:29Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:30Z INFO  hashcode2021] Schedule 20/100: score 2490679
[2021-03-16T09:23:31Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:32Z INFO  hashcode2021] Schedule 21/100: score 2483557
[2021-03-16T09:23:32Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:33Z INFO  hashcode2021] Schedule 22/100: score 2476957
[2021-03-16T09:23:34Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:35Z INFO  hashcode2021] Schedule 23/100: score 2487239
[2021-03-16T09:23:36Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:37Z INFO  hashcode2021] Schedule 24/100: score 2483656
[2021-03-16T09:23:38Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:39Z INFO  hashcode2021] Schedule 25/100: score 2490488
[2021-03-16T09:23:39Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:40Z INFO  hashcode2021] Schedule 26/100: score 2485796
[2021-03-16T09:23:41Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:42Z INFO  hashcode2021] Schedule 27/100: score 2478326
[2021-03-16T09:23:43Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:44Z INFO  hashcode2021] Schedule 28/100: score 2485183
[2021-03-16T09:23:45Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:46Z INFO  hashcode2021] Schedule 29/100: score 2483454
[2021-03-16T09:23:46Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:48Z INFO  hashcode2021] Schedule 30/100: score 2482477
[2021-03-16T09:23:49Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:50Z INFO  hashcode2021] Schedule 31/100: score 2474519
[2021-03-16T09:23:51Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:53Z INFO  hashcode2021] Schedule 32/100: score 2488459
[2021-03-16T09:23:54Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:55Z INFO  hashcode2021] Schedule 33/100: score 2484576
[2021-03-16T09:23:56Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:57Z INFO  hashcode2021] Schedule 34/100: score 2488438
[2021-03-16T09:23:58Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:23:59Z INFO  hashcode2021] Schedule 35/100: score 2488154
[2021-03-16T09:23:59Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:24:00Z INFO  hashcode2021] Schedule 36/100: score 2489252
[2021-03-16T09:24:01Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:24:02Z INFO  hashcode2021] Schedule 37/100: score 2478962
[2021-03-16T09:24:03Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:24:04Z INFO  hashcode2021] Schedule 38/100: score 2490130
[2021-03-16T09:24:05Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:24:06Z INFO  hashcode2021] Schedule 39/100: score 2478476
[2021-03-16T09:24:07Z INFO  hashcode2021::adapt] Adaptive scheduler: 0 ignored cars, 0 unused streets
[2021-03-16T09:24:08Z INFO  hashcode2021] Schedule 40/100: score 2488795
